Woonplaats;Woonplaats code;Mutatiedatum WPL;Einddatum WPL;Gemeente;Gemeente code;Ingangsdatum nieuwe gemeente;Gemeente beeindigd per
Eexterveen;1156;;;Aa en Hunze;1680;;
Eexterveenschekanaal;1157;;;Aa en Hunze;1680;;
Eexterzandvoort;1158;;;Aa en Hunze;1680;;
Egchel;3439;;;Peel en Maas;1894;;
Egmond aan den Hoef;3048;;;Bergen (NH);373;;
Egmond aan Zee;3049;;;Bergen (NH);373;;
Egmond-Binnen;3050;;;Bergen (NH);373;;
Eibergen;1662;;;Berkelland;1859;;
Eijsden;1700;;;Eijsden;905;;01-01-2011
Eijsden;1700;;;Eijsden-Margraten;1903;01-01-2011;
Eindhoven;1101;;;Eindhoven;772;;
Einighausen;2810;;;Sittard-Geleen;1883
Ekehaar;1159;;;Aa en Hunze;1680
Elahuizen;1675;;;Gaasterlân-Sleat;653
Elburg;1844;;;Elburg;230
Eldersloo;1160;;;Aa en Hunze;1680
Eleveld;1161;;;Aa en Hunze;1680
Elim;1811;;;Hoogeveen;118
Elkenrade;1235;;;Gulpen-Wittem;1729
Ell;2942;;;Leudal;1640
Ellecom;1503;;;Rheden;275
Ellemeet;2678;;;Schouwen-Duiveland;1676
Ellertshaar;1793;;;Borger-Odoorn;1681
Ellewoutsdijk;1254;;;Borsele;654
Elp;3010;;;Midden-Drenthe;1731
Elsendorp;2095;;;Gemert-Bakel;1652
Elshout;3499;;;Heusden;797
Elsloo;1755;;;Ooststellingwerf;85
Elsloo;1914;;;Stein;971
Elspeet;2983;;;Nunspeet;302
Elst;1864;;;Overbetuwe;1734
Elst Ut;1400;;;Rhenen;340
Emmeloord;1271;;;Noordoostpolder;171
Emmen;1988;;;Emmen;114
Emmer-Compascuum;1989;;;Emmen;114
Empe;1109;;;Brummen;213
Emst;1346;;;Epe;232
Engwierum;3393;;;Dongeradeel;58
Enkhuizen;2754;;;Enkhuizen;388
Ens;1276;;;Noordoostpolder;171
Enschede;1145;;;Enschede;153
Enspijk;3216;;;Geldermalsen;236
Enter;1088;;;Wierden;189
Enumatil;2340;;;Leek;22
Epe;1344;;;Epe;232
Epen;1232;;;Gulpen-Wittem;1729
Eppenhuizen;3474;;;Eemsmond;1651
Epse;1337;;;Lochem;262
Erica;1990;;;Emmen;114
Erichem;3375;;;Buren;214
Erlecom;2874;;;Ubbergen;282
Erm;2153;;;Coevorden;109
Ermelo;2573;;;Ermelo;233
Erp;2826;;;Veghel;860
Esbeek;1311;;;Hilvarenbeek;798
Esch;1426;;;Haaren;788
Escharen;3195;;;Grave;786
Espel;1280;;;Noordoostpolder;171
Est;3359;;;Neerijnen;304
Etten;1581;;;Oude IJsselstreek;1509;;
Etten-Leur;1010;;;Etten-Leur;777;;
Europoort Rotterdam;3081;;;Rotterdam;599;;
Eursinge;3011;;;Midden-Drenthe;1731;;
Eursinge;3165;;;De Wolden;1690;;
Everdingen;2840;;;Vianen;620;;
Evertsoord;1517;;;Horst aan de Maas;1507;;
Ewijk;2752;;;Beuningen;209;;
Exloërveen;1794;;;Borger-Odoorn;1681;;
Exloo;1795;;;Borger-Odoorn;1681;;
Exmorra;2307;;;Wûnseradiel;710;;01-01-2011
Exmorra;2307;;;Súdwest Fryslân;1900;01-01-2011;
Eygelshoven;2650;;;Kerkrade;928;;
Eys;1234;;;Gulpen-Wittem;1729;;
Ezinge;2467;;;Winsum;53;;
Farmsum;3235;;;Delfzijl;10;;
Feanwâlden;3271;;;Dantumadiel;1891;;
Feerwerd;2468;;;Winsum;53;;
Feinsum;3226;;;Leeuwarderadeel;81;;
Ferwert;3201;;;Ferwerderadiel;1722;;
Ferwoude;2308;;;Wûnseradiel;710;;01-01-2011
Ferwoude;2308;;;Súdwest Fryslân;1900;01-01-2011;
Fijnaart;1321;;;Moerdijk;1709;;
Finsterwolde;1419;;;Oldambt;1895;;
Firdgum;1378;;;Franekeradeel;70;;
Fleringen;1284;;;Tubbergen;183;;
Fluitenberg;1812;;;Hoogeveen;118;;
Fochteloo;1756;;;Ooststellingwerf;85;;
Follega;2244;;;Lemsterland;82;;
Folsgare;2402;;;Wymbritseradiel;683;;01-01-2011
Folsgare;2402;;;Súdwest Fryslân;1900;01-01-2011;
Formerum;2617;;;Terschelling;93;;
Foudgum;3394;;;Dongeradeel;58;;
Foxhol;1017;;;Hoogezand-Sappemeer;18;;
Foxwolde;1636;;;Noordenveld;1699;;
Franeker;1366;;;Franekeradeel;70;;
Frederiksoord;3111;;;Westerveld;1701;;
Friens;2527;;;Boarnsterhim;55;;
Frieschepalen;3345;;;Opsterland;86;;
Froombosch;1348;;;Slochteren;40;;
Gaanderen;3247;;;Doetinchem;222;;
Gaast;2309;;;Wûnseradiel;710;;01-01-2011
Gaast;2309;;;Súdwest Fryslân;1900;01-01-2011;
Gaastmeer;2403;;;Wymbritseradiel;683;;01-01-2011
Gaastmeer;2403;;;Súdwest Fryslân;1900;01-01-2011;
Galder;3434;;;Alphen-Chaam;1723;;
Gameren;2631;;;Zaltbommel;297;;
Gapinge;2777;;;Veere;717;;
Garderen;1057;;;Barneveld;203;;
Garmerwolde;1831;;;Ten Boer;9;;
Garminge;3012;;;Midden-Drenthe;1731;;
Garnwerd;2469;;;Winsum;53;;
Garrelsweer;3445;;;Loppersum;24;;
Garsthuizen;3446;;;Loppersum;24;;
Garyp;2455;;;Tytsjerksteradiel;737;;
Gassel;3196;;;Grave;786;;
Gasselte;1162;;;Aa en Hunze;1680;;
Gasselternijveen;1163;;;Aa en Hunze;1680;;
Gasselternijveenschemond;1164;;;Aa en Hunze;1680;;
Gastel;1570;;;Cranendonck;1706;;
Gasteren;1165;;;Aa en Hunze;1680;;
Gauw;2404;;;Wymbritseradiel;683;;01-01-2011
Gauw;2404;;;Súdwest Fryslân;1900;01-01-2011;
Geelbroek;1166;;;Aa en Hunze;1680;;
Geerdijk;3322;;;Twenterand;1700
Geersdijk;3193;;;Noord-Beveland;1695
Geertruidenberg;1751;;;Geertruidenberg;779
Geervliet;1386;;;Bernisse;568
Gees;2154;;;Coevorden;109
Geesbrug;2155;;;Coevorden;109
Geesteren;1285;;;Tubbergen;183
Geesteren;1655;;;Berkelland;1859
Geeuwenbrug;3112;;;Westerveld;1701
Geffen;2747;;;Maasdonk;1671
Geijsteren;1857;;;Venray;984
Geldermalsen;3218;01-06-2010;14-12-2011;Geldermalsen;236
Geldermalsen;3529;24-11-2011;;Geldermalsen;236
Gelderswoude;2645;;;Zoeterwoude;638
Geldrop;1126;;;Geldrop-Mierlo;1771
Geleen;2811;;01-01-2011;Sittard-Geleen;1883
Geleen;3513;01-01-2011;;Sittard-Geleen;1883
Gellicum;3214;;;Geldermalsen;236
Gelselaar;1654;;;Berkelland;1859
Gemert;2089;;;Gemert-Bakel;1652
Gemonde;2059;;;Sint-Michielsgestel;845
Genderen;1954;;;Aalburg;738
Gendringen;1585;;;Oude IJsselstreek;1509
Gendt;3132;;;Lingewaard;1705
Genemuiden;2198;;;Zwartewaterland;1896
Gennep;2482;;;Gennep;907
Gerkesklooster;3177;;;Achtkarspelen;59
Gersloot;2185;;;Heerenveen;74
Geulle;1462;;;Meerssen;938
Giesbeek;1300;;;Zevenaar;299
Giessen;3302;;;Woudrichem;874
Giessenburg;1433;;;Giessenlanden;689
Gieten;1167;;;Aa en Hunze;1680;;
Gieterveen;1168;;;Aa en Hunze;1680;;
Giethmen;2551;;;Ommen;175;;
Giethoorn;2700;;;Steenwijkerland;1708;;
Gilze;2067;;;Gilze en Rijen;784;;
Ginnum;3202;;;Ferwerderadiel;1722;;
Glane;1712;;;Losser;168;;
Glimmen;1267;;;Haren;17;;
Godlinze;3236;;;Delfzijl;10;;
Goedereede;2931;;;Goedereede;511;;
Goënga;2405;;;Wymbritseradiel;683;;01-01-2011
Goënga;2405;;;Súdwest Fryslân;1900;01-01-2011;
Goëngahuizen;3281;;;Smallingerland;90;;
Goes;1824;;;Goes;664;;
Goingarijp;2489;;;Skarsterlân;51;;
Goirle;2880;;;Goirle;785;;
Goor;1442;;;Hof van Twente;1735
Gorinchem;2299;;;Gorinchem;512
Gorredijk;3346;;;Opsterland;86
Gorssel;1338;;;Lochem;262
Gouda;1005;;;Gouda;513
Gouderak;2374;;;Ouderkerk;644
Goudriaan;1982;;;Graafstroom;693
Goudswaard;2886;;;Korendijk;588
Goutum;1201;;05-01-2012;Leeuwarden;80
Goutum;3544;05-01-2012;;Leeuwarden;80
Graauw;3094;;;Hulst;677
Grafhorst;2896;;;Kampen;166
Graft;1903;;;Graft-De Rijp;365
Gramsbergen;1549;;;Hardenberg;160
Grashoek;3440;;;Peel en Maas;1894
Grathem;2943;;;Leudal;1640
Grave;3197;;;Grave;786;;
Greonterp;2406;;;Wymbritseradiel;683;;01-01-2011
Greonterp;2406;;;Súdwest Fryslân;1900;01-01-2011;
Grevenbicht;2812;;;Sittard-Geleen;1883;;
Griendtsveen;1029;;;Horst aan de Maas;1507;;
Grijpskerk;2118;;;Zuidhorn;56;;
Grijpskerke;2778;;;Veere;717;;
Groede;2967;;;Sluis;1714;;
Groenekan;2937;;;De Bilt;310;;
Groeningen;1216;;;Boxmeer;756;;
Groenlo;2224;;;Oost Gelre;1586;;
Groesbeek;2291;;;Groesbeek;241;;
Groessen;2097;;;Duiven;226;;
Groet;3044;;;Bergen (NH);373;;
Grolloo;1169;;;Aa en Hunze;1680;;
Groningen;1070;;;Groningen;14;;
Gronsveld;1701;;;Eijsden;905;;01-01-2011
Gronsveld;1701;;;Eijsden-Margraten;1903;01-01-2011;
Groot-Ammers;1806;;;Liesveld;694;;
Grootebroek;1103;;;Stede Broec;532;;
Grootegast;2175;;;Grootegast;15;;
Grootschermer;1887;;;Schermer;458;;
Grou;2528;;;Boarnsterhim;55;;
Grubbenvorst;1030;;;Horst aan de Maas;1507;;
Gulpen;1225;;;Gulpen-Wittem;1729;;
Guttecoven;2813;;;Sittard-Geleen;1883;;
Gytsjerk;2444;;;Tytsjerksteradiel;737;;
Haaften;3360;;;Neerijnen;304;;
Haaksbergen;2347;;;Haaksbergen;158;;
Haalderen;3136;;;Lingewaard;1705;;
Haaren;1427;;;Haaren;788;;
Haarle;1040;;;Hellendoorn;163;;
Haarle;1286;;;Tubbergen;183
Haarlem;2907;;;Haarlem;392
Haarlemmerliede;2641;;;Haarlemmerliede en Spaarnwoude;393
Haarlo;1660;;;Berkelland;1859
Haarsteeg;3500;;;Heusden;797
Haarzuilens;3298;;;Utrecht;344
Haastrecht;2387;;;Vlist;623
Haelen;2944;;;Leudal;1640
Hagestein;2841;;;Vianen;620
Haghorst;1310;;;Hilvarenbeek;798
Haler;2945;;;Leudal;1640
Halfweg;2643;;;Haarlemmerliede en Spaarnwoude;393
Hall;1113;;;Brummen;213
Halle;1525;;;Bronckhorst;1876
Hallum;3203;;;Ferwerderadiel;1722
Halsteren;1938;;;Bergen op Zoom;748
Handel;2092;;;Gemert-Bakel;1652
Hank;2215;;;Werkendam;870
Hansweert;3461;;;Reimerswaal;703
Hantum;3395;;;Dongeradeel;58
Hantumeruitburen;3396;;;Dongeradeel;58
Hantumhuizen;3397;;;Dongeradeel;58
Hapert;1065;;;Bladel;1728
Haps;1451;;;Cuijk;1684
Harbrinkhoek;1287;;;Tubbergen;183
Hardenberg;1550;;;Hardenberg;160
Harderwijk;3222;;;Harderwijk;243
Hardinxveld-Giessendam;3031;;;Hardinxveld-Giessendam;523
Haren;3253;;;Oss;828
Haren Gn;1266;;;Haren;17
Harfsen;1339;;;Lochem;262
Harich;1676;;;Gaasterlân-Sleat;653
Haringhuizen;2515;;;Niedorp;412;;01-01-2012
Haringhuizen;2515;;;Hollands Kroon;1911;01-01-2012;
Harkema;3178;;;Achtkarspelen;59;;
Harkstede;1349;;;Slochteren;40;;
Harlingen;2891;;;Harlingen;72;;
Harmelen;1072;;;Woerden;632;;
Harreveld;2228;;;Oost Gelre;1586;;
Harskamp;2768;;;Ede;228;;
Hartwerd;2310;;;Wûnseradiel;710;;01-01-2011
Hartwerd;2310;;;Súdwest Fryslân;1900;01-01-2011;
Haskerdijken;2490;;;Skarsterlân;51;;
Haskerhorne;2491;;;Skarsterlân;51;;
Hasselt;2199;;;Zwartewaterland;1896;;
Hattem;2882;;;Hattem;244;;
Hattemerbroek;3069;;;Oldebroek;269;;
Haule;1757;;;Ooststellingwerf;85;;
Haulerwijk;1758;;;Ooststellingwerf;85;;
Hauwert;3149;;;Medemblik;420;;
Havelte;3113;;;Westerveld;1701;;
Havelterberg;3114;;;Westerveld;1701;;
Hazerswoude-Dorp;2852;;;Rijnwoude;1672;;
Hazerswoude-Rijndijk;2851;;;Rijnwoude;1672;;
Hedel;1625;;;Maasdriel;263;;
Hedikhuizen;3515;01-09-2011;;Heusden;797;;
Hee;2623;;;Terschelling;93;;
Heeg;2407;;;Wymbritseradiel;683;;01-01-2011
Heeg;2407;;;Súdwest Fryslân;1900;01-01-2011;
Heel;1917;;;Maasgouw;1641;;
Heelsum;2987;;;Renkum;274;;
Heelweg;1576;;;Oude IJsselstreek;1509;;
Heemserveen;1551;;;Hardenberg;160;;
Heemskerk;2458;;;Heemskerk;396;;
Heemstede;2563;;;Heemstede;397
Heenvliet;1387;;;Bernisse;568
Heerde;2865;;;Heerde;246
Heerenveen;2186;;;Heerenveen;74
Heerewaarden;1626;;;Maasdriel;263
Heerhugowaard;1746;;;Heerhugowaard;398
Heerjansdam;2398;;;Zwijndrecht;642
Heerle;1590;;;Roosendaal;1674
Heerlen;1312;;;Heerlen;917
Heesbeen;3516;01-09-2011;;Heusden;797
Heesch;3059;;;Bernheze;1721
Heesselt;3361;;;Neerijnen;304
Heeswijk-Dinther;3060;;;Bernheze;1721
Heeten;1498;;;Raalte;177
Heeze;1314;;;Heeze-Leende;1658
Hegebeintum;3204;;;Ferwerderadiel;1722
Hegelsom;1031;;;Horst aan de Maas;1507
Hei- en Boeicop;2109;;;Zederik;707
Heibloem;2946;;;Leudal;1640
Heide;2329;;;Venray;984
Heijen;2483;;;Gennep;907
Heijenrath;1228;;;Gulpen-Wittem;1729
Heijningen;1318;;;Moerdijk;1709
Heikant;3091;;;Hulst;677
Heilig Landstichting;2292;;;Groesbeek;241
Heiligerlee;1899;;;Oldambt;1895
Heiloo;1243;;;Heiloo;399
Heinenoord;2381;;;Binnenmaas;585
Heinkenszand;1255;;;Borsele;654
Heino;1492;;;Raalte;177
Hekelingen;3033;;;Spijkenisse;612
Hekendorp;1909;;;Oudewater;589
Helden;3441;;;Peel en Maas;1894;;
Helenaveen;1778;;;Deurne;762;;
Hellendoorn;1041;;;Hellendoorn;163;;
Hellevoetsluis;2137;;;Hellevoetsluis;530;;
Hellouw;3362;;;Neerijnen;304;;
Hellum;1350;;;Slochteren;40;;
Helmond;1146;;;Helmond;794;;
Helvoirt;1428;;;Haaren;788;;
Hem;1507;;;Drechterland;498;;
Hemelum;1970;;;Nijefurd;104;;01-01-2011
Hemelum;1970;;;Súdwest Fryslân;1900;01-01-2011;
Hemmen;1865;;;Overbetuwe;1734;;
Hempens;1202;;;Leeuwarden;80;;
Hemrik;3347;;;Opsterland;86;;
Hendrik-Ido-Ambacht;2352;;;Hendrik-Ido-Ambacht;531;;
Hengelo;1804;11-11-2008;01-06-2011;Hengelo (O);164;;
Hengelo;3510;01-06-2011;;Hengelo (O);164
Hengelo (Gld);1535;;;Bronckhorst;1876
Hengevelde;1443;;;Hof van Twente;1735
Hengstdijk;3098;;;Hulst;677
Hensbroek;1186;;;Koggenland;1598
Herbaijum;1365;;;Franekeradeel;70
Herkenbosch;2590;;;Roerdalen;1669
Herkingen;2378;;;Dirksland;504
Hernen;2566;;;Wijchen;296
Herpen;3255;;;Oss;828
Herpt;3517;01-09-2011;;Heusden;797
Herten;2282;;;Roermond;957
Hertme;2050;;;Borne;147
Herveld;1866;;;Overbetuwe;1734
Herwen;2977;;;Rijnwaarden;196
Herwijnen;2354;;;Lingewaal;733
Heteren;1867;;;Overbetuwe;1734;;
Heukelom;2648;;;Oisterwijk;824;;
Heukelum;2355;;;Lingewaal;733;;
Heumen;3495;;;Heumen;252;;
Heusden;2929;;;Asten;743;;
Heusden;3518;01-09-2011;;Heusden;797;;
HEUSDEN GEM HEUSDEN;3501;;03-10-2011;Heusden;797;;
Heveadorp;2988;;;Renkum;274;;
Heythuysen;2947;;;Leudal;1640;;
Hezingen;1288;;;Tubbergen;183;;
Hiaure;3398;;;Dongeradeel;58;;
Hichtum;2311;;;Wûnseradiel;710;;01-01-2011
Hichtum;2311;;;Súdwest Fryslân;1900;01-01-2011;
Hidaard;2016;;;Littenseradiel;140;;
Hierden;3223;;;Harderwijk;243;;
Hieslum;2312;;;Wûnseradiel;710;;01-01-2011
Hieslum;2312;;;Súdwest Fryslân;1900;01-01-2011;
Hijken;3013;;;Midden-Drenthe;1731;;
Hijum;3227;;;Leeuwarderadeel;81;;
Hilaard;2017;;;Littenseradiel;140;;
Hillegom;1710;;12-01-2012;Hillegom;534;;
Hillegom;3535;05-01-2012;;Hillegom;534;;
Hilvarenbeek;1307;;;Hilvarenbeek;798;;
Hilversum;1036;;;Hilversum;402;;
Hindeloopen;1968;;;Nijefurd;104;;01-01-2011
Hindeloopen;1968;;;Súdwest Fryslân;1900;01-01-2011;
Hinnaard;2018;;;Littenseradiel;140;;
Hippolytushoef;1488;;;Wieringen;462;;01-01-2012
Hippolytushoef;1488;;;Hollands Kroon;1911;01-01-2012;
Hitzum;1363;;;Franekeradeel;70;;
Hobrede;1838;;;Zeevang;478;;
Hoedekenskerke;1256;;;Borsele;654;;
Hoek;1130;;;Terneuzen;715
Hoek van Holland;3082;;;Rotterdam;599
Hoenderloo;2257;;;Apeldoorn;200
Hoenderloo;2772;;;Ede;228
Hoensbroek;1313;;;Heerlen;917
Hoenzadriel;1627;;;Maasdriel;263
Hoevelaken;2871;;;Nijkerk;267
Hoeven;1250;;;Halderberge;1655
Hoge Hexel;1089;;;Wierden;189
Hollandsche Rading;2938;;;De Bilt;310
Hollandscheveld;1813;;;Hoogeveen;118
Hollum;2586;;;Ameland;60
Holsloot;2156;;;Coevorden;109
Holten;1567;;;Rijssen-Holten;1742
Holthees;1217;;;Boxmeer;756
Holtheme;1552;;;Hardenberg;160
Holthone;1553;;;Hardenberg;160;;
Holtum;2814;;;Sittard-Geleen;1883;;
Holwerd;3399;;;Dongeradeel;58;;
Holwierde;3237;;;Delfzijl;10;;
Hommerts;2408;;;Wymbritseradiel;683;;01-01-2011
Hommerts;2408;;;Súdwest Fryslân;1900;01-01-2011;
Homoet;1868;;;Overbetuwe;1734;;
Honselersdijk;2656;;;Westland;1783;;
Hoofddorp;1597;;;Haarlemmermeer;394;;
Hoofdplaat;2968;;;Sluis;1714;;
Hoog Soeren;2249;;;Apeldoorn;200;;
Hoogblokland;1434;;;Giessenlanden;689;;
Hooge Mierde;1874;;;Reusel-De Mierden;1667;;
Hooge Zwaluwe;2575;;;Drimmelen;1719;;
Hoogeloon;1066;;;Bladel;1728;;
Hoogenweg;1554;;;Hardenberg;160;;
Hoogerheide;1000;;;Woensdrecht;873
Hoogersmilde;3014;;;Midden-Drenthe;1731
Hoogersmilde;3115;;;Westerveld;1701
Hoogeveen;1814;;;Hoogeveen;118
Hoogezand;1018;;;Hoogezand-Sappemeer;18
Hooghalen;3015;;;Midden-Drenthe;1731
Hoogkarspel;1508;;;Drechterland;498
Hoog-Keppel;1521;;;Bronckhorst;1876
Hoogland;1665;;;Amersfoort;307
Hooglanderveen;1666;;;Amersfoort;307
Hoogmade;3034;;;Kaag en Braassem;1884
Hoogvliet Rotterdam;3083;;;Rotterdam;599
Hoogwoud;2790;;;Opmeer;432
Hoorn;2461;;;Hoorn;405
Hoorn;2615;;;Terschelling;93
Hoornaar;1435;;;Giessenlanden;689
Hoornsterzwaag;2197;;;Heerenveen;74
Horn;2948;;;Leudal;1640
Hornhuizen;3416;;;De Marne;1663
Horssen;2905;;;Druten;225
Horst;1032;;;Horst aan de Maas;1507
Houten;2053;;;Houten;321
Houtigehage;3282;;;Smallingerland;90
Houwerzijl;3417;;;De Marne;1663
Huijbergen;1001;;;Woensdrecht;873
Huis ter Heide;1637;;;Noordenveld;1699
Huis ter Heide;2825;;;Zeist;355
Huisduinen;3057;;;Den Helder;400
Huisseling;3257;;;Oss;828
Huissen;3130;;;Lingewaard;1705
Huizen;1011;;;Huizen;406
Huizinge;3447;;;Loppersum;24
Hulsberg;2359;;;Nuth;951;;
Hulsel;1875;;;Reusel-De Mierden;1667;;
Hulshorst;2984;;;Nunspeet;302;;
Hulst;3088;;;Hulst;677;;
Hulten;2068;;;Gilze en Rijen;784;;
Hummelo;1523;;;Bronckhorst;1876;;
Húns;2019;;;Littenseradiel;140;;
Hunsel;2949;;;Leudal;1640;;
Hurdegaryp;2449;;;Tytsjerksteradiel;737;;
Hurwenen;1628;;;Maasdriel;263;;
Idaerd;2529;;;Boarnsterhim;55;;
Idsegahuizum;2313;;;Wûnseradiel;710;;01-01-2011
Idsegahuizum;2313;;;Súdwest Fryslân;1900;01-01-2011;
Idskenhuizen;2492;;;Skarsterlân;51;;
Idzega;2409;;;Wymbritseradiel;683;;01-01-2011
Idzega;2409;;;Súdwest Fryslân;1900;01-01-2011;
Iens;2020;;;Littenseradiel;140;;
IJhorst;1048;;;Staphorst;180;;
IJlst;2410;;;Wymbritseradiel;683;;01-01-2011
IJlst;2410;;;Súdwest Fryslân;1900;01-01-2011;
IJmuiden;2835;;;Velsen;453;;
IJsselham;2701;;;Steenwijkerland;1708;;
IJsselmuiden;2895;;;Kampen;166;;
IJsselstein;2432;;;IJsselstein;353;;
IJzendijke;2974;;;Sluis;1714;;
IJzendoorn;1099;;;Neder-Betuwe;1740;;
Ilpendam;1941;;;Waterland;852;;
Indijk;2411;;;Wymbritseradiel;683;;01-01-2011
Indijk;2411;;;Súdwest Fryslân;1900;01-01-2011;
Ingber;1226;;;Gulpen-Wittem;1729;;
Ingelum;2728;;;Menaldumadeel;83;;01-01-2011
Ingelum;2728;;;Menameradiel;1908;01-01-2011;
Ingen;3376;;;Buren;214;;
It Heidenskip;1973;;;Nijefurd;104;;01-01-2011
It Heidenskip;1973;;;Súdwest Fryslân;1900;01-01-2011;
Itens;2021;;;Littenseradiel;140;;
Ittervoort;2950;;;Leudal;1640;;
Jaarsveld;1959;;;Lopik;331;;
Jabeek;2846;;;Onderbanken;881;;
Jannum;3205;;;Ferwerderadiel;1722;;
Jellum;2022;;;Littenseradiel;140;;
Jelsum;3228;;;Leeuwarderadeel;81;;
Jirnsum;2530;;;Boarnsterhim;55;;
Jislum;3206;;;Ferwerderadiel;1722;;
Jisp;2284;;;Wormerland;880;;
Jistrum;2452;;;Tytsjerksteradiel;737;;
Jonkerslân;3348;;;Opsterland;86;;
Jonkersvaart;2261;;;Marum;25;;
Joppe;1340;;;Lochem;262;;
Jorwert;2023;;;Littenseradiel;140;;
Joure;2493;;;Skarsterlân;51;;
Jouswier;3400;;;Dongeradeel;58;;
Jubbega;2196;;;Heerenveen;74;;
Julianadorp;3058;;;Den Helder;400;;
Jutrijp;2412;;;Wymbritseradiel;683;;01-01-2011
Jutrijp;2412;;;Súdwest Fryslân;1900;01-01-2011;
Kaag;3035;;;Kaag en Braassem;1884;;
Kaard;2622;;;Terschelling;93;;
Kaatsheuvel;3052;;;Loon op Zand;809;;
Kalenberg;2702;;;Steenwijkerland;1708;;
Kallenkote;2703;;;Steenwijkerland;1708;;
Kamerik;1073;;;Woerden;632;;
Kampen;2894;;;Kampen;166;;
Kamperland;3188;;;Noord-Beveland;1695;;
Kamperveen;2900;;;Kampen;166
Kantens;3475;;;Eemsmond;1651
Kapel Avezaath;2560;;;Tiel;281
Kapel-Avezaath;3377;;;Buren;214
Kapelle;1467;;;Kapelle;678
Kapellebrug;3090;;;Hulst;677
Katlijk;2192;;;Heerenveen;74
Kats;3192;;;Noord-Beveland;1695
Kattendijke;1825;;;Goes;664
Katwijk;1707;;;Katwijk;537
Katwijk NB;1452;;;Cuijk;1684
Katwoude;1942;;;Waterland;852
Kedichem;2273;;;Leerdam;545
Keent;3264;;;Oss;828
Keijenborg;1536;;;Bronckhorst;1876
Kekerdom;2875;;;Ubbergen;282
Kelpen-Oler;2951;;;Leudal;1640;;
Kerk Avezaath;2561;;;Tiel;281;;
Kerk-Avezaath;3378;;;Buren;214;;
Kerkdriel;1629;;;Maasdriel;263;;
Kerkenveld;3166;;;De Wolden;1690;;
Kerkrade;2649;;;Kerkrade;928;;
Kerkwerve;2679;;;Schouwen-Duiveland;1676;;
Kerkwijk;2632;;;Zaltbommel;297;;
Kessel;1699;;;Peel en Maas;1894;;
Kesteren;1096;;;Neder-Betuwe;1740;;
Kiel-Windeweer;1019;;;Hoogezand-Sappemeer;18;;
Kilder;2207;;;Montferland;1955;;
Kimswerd;2314;;;Wûnseradiel;710;;01-01-2011
Kimswerd;2314;;;Súdwest Fryslân;1900;01-01-2011;
Kinderdijk;2794;;;Nieuw-Lekkerland;571;;
Kinnum;2624;;;Terschelling;93;;
Klaaswaal;2371;;;Cromstrijen;611
Klarenbeek;2248;;;Apeldoorn;200
Klarenbeek;2606;;;Voorst;285
Klazienaveen;1991;;;Emmen;114
Klazienaveen-Noord;1992;;;Emmen;114
Klein Zundert;3492;;;Zundert;879
Klijndijk;1796;;;Borger-Odoorn;1681
Klimmen;1853;;;Voerendaal;986
Kloetinge;1468;;;Kapelle;678
Kloetinge;1826;;;Goes;664
Klooster Lidlum;1376;;;Franekeradeel;70
Kloosterburen;3418;;;De Marne;1663
Kloosterhaar;1555;;;Hardenberg;160
Kloosterhaar;3323;;;Twenterand;1700
Kloosterzande;3100;;;Hulst;677
Klundert;1319;;;Moerdijk;1709
Knegsel;2994;;;Eersel;770;;
Koarnjum;3229;;;Leeuwarderadeel;81;;
Kockengen;1393;;;Breukelen;311;;01-01-2011
Kockengen;1393;;;Stichtse Vecht;1904;01-01-2011;
Koedijk;1120;;;Langedijk;416;;
Koedijk;2349;;;Alkmaar;361;;
Koekange;3167;;;De Wolden;1690;;
Koewacht;1131;;;Terneuzen;715;;
Kolderwolde;1677;;;Gaasterlân-Sleat;653;;
Kolham;1351;;;Slochteren;40;;
Kolhorn;2516;;;Niedorp;412;;01-01-2012
Kolhorn;2516;;;Hollands Kroon;1911;01-01-2012;
Kollum;3309;;;Kollumerland en Nieuwkruisland;79;;
Kollumerpomp;3310;;;Kollumerland en Nieuwkruisland;79;;
Kollumerzwaag;3311;;;Kollumerland en Nieuwkruisland;79;;
Kommerzijl;2119;;;Zuidhorn;56;;
Koningsbosch;2042;;;Echt-Susteren;1711;;
Koningslust;3442;;;Peel en Maas;1894;;
Koog aan de Zaan;1879;;;Zaanstad;479;;
Koolwijk;3258;;;Oss;828;;
Kootstertille;3179;;;Achtkarspelen;59;;
Kootwijk;1062;;;Barneveld;203;;
Kootwijkerbroek;1056;;;Barneveld;203;;
Kornhorn;2176;;;Grootegast;15;;
Kornwerderzand;2315;;;Wûnseradiel;710;;01-01-2011
Kornwerderzand;2315;;;Súdwest Fryslân;1900;01-01-2011;
Kortehemmen;3283;;;Smallingerland;90;;
Kortenhoef;3001;;06-03-2012;Wijdemeren;1696;;
Kortenhoef;3526;09-12-2011;;Wijdemeren;1696;;
Kortgene;3189;;;Noord-Beveland;1695;;
Koudekerk aan den Rijn;2850;;;Rijnwoude;1672;;
Koudekerke;2779;;;Veere;717;;
Koudum;1966;;;Nijefurd;104;;01-01-2011
Koudum;1966;;;Súdwest Fryslân;1900;01-01-2011;
Koufurderrige;2413;;;Wymbritseradiel;683;;01-01-2011
Koufurderrige;2413;;;Súdwest Fryslân;1900;01-01-2011;
Krabbendijke;3462;;;Reimerswaal;703;;
