Woonplaats;Woonplaats code;Ingangsdatum WPL;Einddatum WPL;Gemeente;Gemeente code;Ingangsdatum nieuwe gemeente;Gemeente beeindigd per
Easterwierrum;2015;;;Littenseradiel;0140;;
Echt;2041;;;Echt-Susteren;1711;;
Echteld;1095;;;Neder-Betuwe;1740;;
Echten;2241;;;Lemsterland;0082;;
Echten;3164;;;De Wolden;1690;;
Echtenerbrug;2242;;;Lemsterland;0082;;
Eck en Wiel;3374;;;Buren;0214;;
Eckelrade;1693;;;Margraten;0936;;01-01-2011
Eckelrade;1693;;;Eijsden-Margraten;1903;01-01-2011;
Edam;1747;;;Edam-Volendam;0385;;
Ede;2764;;;Ede;0228;;
Ederveen;2769;;;Ede;0228;;
Ee;3392;;;Dongeradeel;0058;;
Eede;2966;;;Sluis;1714;;
Eefde;1336;;;Lochem;0262;;
Eelde;2909;;;Tynaarlo;1730;;
Eelderwolde;2911;;;Tynaarlo;1730;;
Eemdijk;2238;;;Bunschoten;0313;;
Eemnes;1037;;;Eemnes;0317;;
Eemshaven;3473;;;Eemsmond;1651;;
Een;1634;;;Noordenveld;1699;;
Eenrum;3415;;;De Marne;1663;;
Eenum;3444;;;Loppersum;0024;;
Een-West;1635;;;Noordenveld;1699;;
Eerbeek;1114;;;Brummen;0213;;
Eersel;2993;;;Eersel;0770;;
Ees;1790;;;Borger-Odoorn;1681;;
Eesergroen;1791;;;Borger-Odoorn;1681;;
Eeserveen;1792;;;Borger-Odoorn;1681;;
Eesterga;2243;;;Lemsterland;0082;;
Eesveen;2699;;;Steenwijkerland;1708;;
Eethen;1953;;;Aalburg;0738;;
Eext;1155;;;Aa en Hunze;1680;;
Eexterveen;1156;;;Aa en Hunze;1680;;
Eexterveenschekanaal;1157;;;Aa en Hunze;1680;;
Eexterzandvoort;1158;;;Aa en Hunze;1680;;
Egchel;3439;;;Peel en Maas;1894;;
Egmond aan den Hoef;3048;;;Bergen (NH);0373;;
Egmond aan Zee;3049;;;Bergen (NH);0373;;
Egmond-Binnen;3050;;;Bergen (NH);0373;;
Eibergen;1662;;;Berkelland;1859;;
Eijsden;1700;;;Eijsden;0905;;01-01-2011
Eijsden;1700;;;Eijsden-Margraten;1903;01-01-2011;
Eindhoven;1101;;;Eindhoven;0772;;
Einighausen;2810;;;Sittard-Geleen;1883;;
Ekehaar;1159;;;Aa en Hunze;1680;;
Elahuizen;1675;;;Gaasterlân-Sleat;0653;;
Elburg;1844;;;Elburg;0230;;
Eldersloo;1160;;;Aa en Hunze;1680;;
Eleveld;1161;;;Aa en Hunze;1680;;
Elim;1811;;;Hoogeveen;0118;;
Elkenrade;1235;;;Gulpen-Wittem;1729;;
Ell;2942;;;Leudal;1640;;
Ellecom;1503;;;Rheden;0275;;
Ellemeet;2678;;;Schouwen-Duiveland;1676;;
Ellertshaar;1793;;;Borger-Odoorn;1681;;
Ellewoutsdijk;1254;;;Borsele;0654;;
Elp;3010;;;Midden-Drenthe;1731;;
Elsendorp;2095;;;Gemert-Bakel;1652;;
Elshout;3499;;;Heusden;0797;;
Elsloo;1755;;;Ooststellingwerf;0085;;
Elsloo;1914;;;Stein;0971;;
Elspeet;2983;;;Nunspeet;0302;;
Elst;1864;;;Overbetuwe;1734;;
Elst Ut;1400;;;Rhenen;0340;;
Emmeloord;1271;;;Noordoostpolder;0171;;
Emmen;1988;;;Emmen;0114;;
Emmer-Compascuum;1989;;;Emmen;0114;;
Empe;1109;;;Brummen;0213;;
Emst;1346;;;Epe;0232;;
Engwierum;3393;;;Dongeradeel;0058;;
Enkhuizen;2754;;;Enkhuizen;0388;;
Ens;1276;;;Noordoostpolder;0171;;
Enschede;1145;;;Enschede;0153;;
Enspijk;3216;;;Geldermalsen;0236;;
Enter;1088;;;Wierden;0189;;
Enumatil;2340;;;Leek;0022;;
Epe;1344;;;Epe;0232;;
Epen;1232;;;Gulpen-Wittem;1729;;
Eppenhuizen;3474;;;Eemsmond;1651;;
Epse;1337;;;Lochem;0262;;
Erica;1990;;;Emmen;0114;;
Erichem;3375;;;Buren;0214;;
Erlecom;2874;;;Ubbergen;0282;;
Erm;2153;;;Coevorden;0109;;
Ermelo;2573;;;Ermelo;0233;;
Erp;2826;;;Veghel;0860;;
Esbeek;1311;;;Hilvarenbeek;0798;;
Esch;1426;;;Haaren;0788;;
Escharen;3195;;;Grave;0786;;
Espel;1280;;;Noordoostpolder;0171;;
Est;3359;;;Neerijnen;0304;;
Etten;1581;;;Oude IJsselstreek;1509;;
Etten-Leur;1010;;;Etten-Leur;0777;;
Europoort Rotterdam;3081;;;Rotterdam;0599;;
Eursinge;3011;;;Midden-Drenthe;1731;;
Eursinge;3165;;;De Wolden;1690;;
Everdingen;2840;;;Vianen;0620;;
Evertsoord;1517;;;Horst aan de Maas;1507;;
Ewijk;2752;;;Beuningen;0209;;
Exloërveen;1794;;;Borger-Odoorn;1681;;
Exloo;1795;;;Borger-Odoorn;1681;;
Exmorra;2307;;;Wûnseradiel;0710;;01-01-2011
Exmorra;2307;;;Súdwest Fryslân;1900;01-01-2011;
Eygelshoven;2650;;;Kerkrade;0928;;
Eys;1234;;;Gulpen-Wittem;1729;;
Ezinge;2467;;;Winsum;0053;;
Farmsum;3235;;;Delfzijl;0010;;
Feanwâlden;3271;;;Dantumadiel;1891;;
Feerwerd;2468;;;Winsum;0053;;
Feinsum;3226;;;Leeuwarderadeel;0081;;
Ferwert;3201;;;Ferwerderadiel;1722;;
Ferwoude;2308;;;Wûnseradiel;0710;;01-01-2011
Ferwoude;2308;;;Súdwest Fryslân;1900;01-01-2011;
Fijnaart;1321;;;Moerdijk;1709;;
Finsterwolde;1419;;;Oldambt;1895;;
Firdgum;1378;;;Franekeradeel;0070;;
Fleringen;1284;;;Tubbergen;0183;;
Fluitenberg;1812;;;Hoogeveen;0118;;
Fochteloo;1756;;;Ooststellingwerf;0085;;
Follega;2244;;;Lemsterland;0082;;
Folsgare;2402;;;Wymbritseradiel;0683;;01-01-2011
Folsgare;2402;;;Súdwest Fryslân;1900;01-01-2011;
Formerum;2617;;;Terschelling;0093;;
Foudgum;3394;;;Dongeradeel;0058;;
Foxhol;1017;;;Hoogezand-Sappemeer;0018;;
Foxwolde;1636;;;Noordenveld;1699;;
Franeker;1366;;;Franekeradeel;0070;;
Frederiksoord;3111;;;Westerveld;1701;;
Friens;2527;;;Boarnsterhim;0055;;
Frieschepalen;3345;;;Opsterland;0086;;
Froombosch;1348;;;Slochteren;0040;;
Gaanderen;3247;;;Doetinchem;0222;;
Gaast;2309;;;Wûnseradiel;0710;;01-01-2011
Gaast;2309;;;Súdwest Fryslân;1900;01-01-2011;
Gaastmeer;2403;;;Wymbritseradiel;0683;;01-01-2011
Gaastmeer;2403;;;Súdwest Fryslân;1900;01-01-2011;
Galder;3434;;;Alphen-Chaam;1723;;
Gameren;2631;;;Zaltbommel;0297;;
Gapinge;2777;;;Veere;0717;;
Garderen;1057;;;Barneveld;0203;;
Garmerwolde;1831;;;Ten Boer;0009;;
Garminge;3012;;;Midden-Drenthe;1731;;
Garnwerd;2469;;;Winsum;0053;;
Garrelsweer;3445;;;Loppersum;0024;;
Garsthuizen;3446;;;Loppersum;0024;;
Garyp;2455;;;Tytsjerksteradiel;0737;;
Gassel;3196;;;Grave;0786;;
Gasselte;1162;;;Aa en Hunze;1680;;
Gasselternijveen;1163;;;Aa en Hunze;1680;;
Gasselternijveenschemond;1164;;;Aa en Hunze;1680;;
Gastel;1570;;;Cranendonck;1706;;
Gasteren;1165;;;Aa en Hunze;1680;;
Gauw;2404;;;Wymbritseradiel;0683;;01-01-2011
Gauw;2404;;;Súdwest Fryslân;1900;01-01-2011;
Geelbroek;1166;;;Aa en Hunze;1680;;
Geerdijk;3322;;;Twenterand;1700;;
Geersdijk;3193;;;Noord-Beveland;1695;;
Geertruidenberg;1751;;;Geertruidenberg;0779;;
Geervliet;1386;;;Bernisse;0568;;
Gees;2154;;;Coevorden;0109;;
Geesbrug;2155;;;Coevorden;0109;;
Geesteren;1285;;;Tubbergen;0183;;
Geesteren;1655;;;Berkelland;1859;;
Geeuwenbrug;3112;;;Westerveld;1701;;
Geffen;2747;;;Maasdonk;1671;;
Geijsteren;1857;;;Venray;0984;;
Geldermalsen;3218;01-06-2010;14-12-2011;Geldermalsen;0236;;
Geldermalsen;3529;24-11-2011;;Geldermalsen;0236;;
Gelderswoude;2645;;;Zoeterwoude;0638;;
Geldrop;1126;;;Geldrop-Mierlo;1771;;
Geleen;2811;;01-01-2011;Sittard-Geleen;1883;;
Geleen;3513;01-01-2011;;Sittard-Geleen;1883;;
Gellicum;3214;;;Geldermalsen;0236;;
Gelselaar;1654;;;Berkelland;1859;;
Gemert;2089;;;Gemert-Bakel;1652;;
Gemonde;2059;;;Sint-Michielsgestel;0845;;
Genderen;1954;;;Aalburg;0738;;
Gendringen;1585;;;Oude IJsselstreek;1509;;
Gendt;3132;;;Lingewaard;1705;;
Genemuiden;2198;;;Zwartewaterland;1896;;
Gennep;2482;;;Gennep;0907;;
Gerkesklooster;3177;;;Achtkarspelen;0059;;
Gersloot;2185;;;Heerenveen;0074;;
Geulle;1462;;;Meerssen;0938;;
Giesbeek;1300;;;Zevenaar;0299;;
Giessen;3302;;;Woudrichem;0874;;
Giessenburg;1433;;;Giessenlanden;0689;;
Gieten;1167;;;Aa en Hunze;1680;;
Gieterveen;1168;;;Aa en Hunze;1680;;
Giethmen;2551;;;Ommen;0175;;
Giethoorn;2700;;;Steenwijkerland;1708;;
Gilze;2067;;;Gilze en Rijen;0784;;
Ginnum;3202;;;Ferwerderadiel;1722;;
Glane;1712;;;Losser;0168;;
Glimmen;1267;;;Haren;0017;;
Godlinze;3236;;;Delfzijl;0010;;
Goedereede;2931;;;Goedereede;0511;;
Goënga;2405;;;Wymbritseradiel;0683;;01-01-2011
Goënga;2405;;;Súdwest Fryslân;1900;01-01-2011;
Goëngahuizen;3281;;;Smallingerland;0090;;
Goes;1824;;;Goes;0664;;
Goingarijp;2489;;;Skarsterlân;0051;;
Goirle;2880;;;Goirle;0785;;
Goor;1442;;;Hof van Twente;1735;;
Gorinchem;2299;;;Gorinchem;0512;;
Gorredijk;3346;;;Opsterland;0086;;
Gorssel;1338;;;Lochem;0262;;
Gouda;1005;;;Gouda;0513;;
Gouderak;2374;;;Ouderkerk;0644;;
Goudriaan;1982;;;Graafstroom;0693;;
Goudswaard;2886;;;Korendijk;0588;;
Goutum;1201;;05-01-2012;Leeuwarden;0080;;
Goutum;3544;05-01-2012;;Leeuwarden;0080;;
Graauw;3094;;;Hulst;0677;;
Grafhorst;2896;;;Kampen;0166;;
Graft;1903;;;Graft-De Rijp;0365;;
Gramsbergen;1549;;;Hardenberg;0160;;
Grashoek;3440;;;Peel en Maas;1894;;
Grathem;2943;;;Leudal;1640;;
Grave;3197;;;Grave;0786;;
Greonterp;2406;;;Wymbritseradiel;0683;;01-01-2011
Greonterp;2406;;;Súdwest Fryslân;1900;01-01-2011;
Grevenbicht;2812;;;Sittard-Geleen;1883;;
Griendtsveen;1029;;;Horst aan de Maas;1507;;
Grijpskerk;2118;;;Zuidhorn;0056;;
Grijpskerke;2778;;;Veere;0717;;
Groede;2967;;;Sluis;1714;;
Groenekan;2937;;;De Bilt;0310;;
Groeningen;1216;;;Boxmeer;0756;;
Groenlo;2224;;;Oost Gelre;1586;;
Groesbeek;2291;;;Groesbeek;0241;;
Groessen;2097;;;Duiven;0226;;
Groet;3044;;;Bergen (NH);0373;;
Grolloo;1169;;;Aa en Hunze;1680;;
Groningen;1070;;;Groningen;0014;;
Gronsveld;1701;;;Eijsden;0905;;01-01-2011
Gronsveld;1701;;;Eijsden-Margraten;1903;01-01-2011;
Groot-Ammers;1806;;;Liesveld;0694;;
Grootebroek;1103;;;Stede Broec;0532;;
Grootegast;2175;;;Grootegast;0015;;
Grootschermer;1887;;;Schermer;0458;;
Grou;2528;;;Boarnsterhim;0055;;
Grubbenvorst;1030;;;Horst aan de Maas;1507;;
Gulpen;1225;;;Gulpen-Wittem;1729;;
Guttecoven;2813;;;Sittard-Geleen;1883;;
Gytsjerk;2444;;;Tytsjerksteradiel;0737;;
Haaften;3360;;;Neerijnen;0304;;
Haaksbergen;2347;;;Haaksbergen;0158;;
Haalderen;3136;;;Lingewaard;1705;;
Haaren;1427;;;Haaren;0788;;
Haarle;1040;;;Hellendoorn;0163;;
Haarle;1286;;;Tubbergen;0183;;
Haarlem;2907;;;Haarlem;0392;;
Haarlemmerliede;2641;;;Haarlemmerliede en Spaarnwoude;0393;;
Haarlo;1660;;;Berkelland;1859;;
Haarsteeg;3500;;;Heusden;0797;;
Haarzuilens;3298;;;Utrecht;0344;;
Haastrecht;2387;;;Vlist;0623;;
Haelen;2944;;;Leudal;1640;;
Hagestein;2841;;;Vianen;0620;;
Haghorst;1310;;;Hilvarenbeek;0798;;
Haler;2945;;;Leudal;1640;;
Halfweg;2643;;;Haarlemmerliede en Spaarnwoude;0393;;
Hall;1113;;;Brummen;0213;;
Halle;1525;;;Bronckhorst;1876;;
Hallum;3203;;;Ferwerderadiel;1722;;
Halsteren;1938;;;Bergen op Zoom;0748;;
Handel;2092;;;Gemert-Bakel;1652;;
Hank;2215;;;Werkendam;0870;;
Hansweert;3461;;;Reimerswaal;0703;;
Hantum;3395;;;Dongeradeel;0058;;
Hantumeruitburen;3396;;;Dongeradeel;0058;;
Hantumhuizen;3397;;;Dongeradeel;0058;;
Hapert;1065;;;Bladel;1728;;
Haps;1451;;;Cuijk;1684;;
Harbrinkhoek;1287;;;Tubbergen;0183;;
Hardenberg;1550;;;Hardenberg;0160;;
Harderwijk;3222;;;Harderwijk;0243;;
Hardinxveld-Giessendam;3031;;;Hardinxveld-Giessendam;0523;;
Haren;3253;;;Oss;0828;;
Haren Gn;1266;;;Haren;0017;;
Harfsen;1339;;;Lochem;0262;;
Harich;1676;;;Gaasterlân-Sleat;0653;;
Haringhuizen;2515;;;Niedorp;0412;;01-01-2012
Haringhuizen;2515;;;Hollands Kroon;1911;01-01-2012;
Harkema;3178;;;Achtkarspelen;0059;;
Harkstede;1349;;;Slochteren;0040;;
Harlingen;2891;;;Harlingen;0072;;
Harmelen;1072;;;Woerden;0632;;
Harreveld;2228;;;Oost Gelre;1586;;
Harskamp;2768;;;Ede;0228;;
Hartwerd;2310;;;Wûnseradiel;0710;;01-01-2011
Hartwerd;2310;;;Súdwest Fryslân;1900;01-01-2011;
Haskerdijken;2490;;;Skarsterlân;0051;;
Haskerhorne;2491;;;Skarsterlân;0051;;
Hasselt;2199;;;Zwartewaterland;1896;;
Hattem;2882;;;Hattem;0244;;
Hattemerbroek;3069;;;Oldebroek;0269;;
Haule;1757;;;Ooststellingwerf;0085;;
Haulerwijk;1758;;;Ooststellingwerf;0085;;
Hauwert;3149;;;Medemblik;0420;;
Havelte;3113;;;Westerveld;1701;;
Havelterberg;3114;;;Westerveld;1701;;
Hazerswoude-Dorp;2852;;;Rijnwoude;1672;;
Hazerswoude-Rijndijk;2851;;;Rijnwoude;1672;;
Hedel;1625;;;Maasdriel;0263;;
Hedikhuizen;3515;01-09-2011;;Heusden;0797;;
Hee;2623;;;Terschelling;0093;;
Heeg;2407;;;Wymbritseradiel;0683;;01-01-2011
Heeg;2407;;;Súdwest Fryslân;1900;01-01-2011;
Heel;1917;;;Maasgouw;1641;;
Heelsum;2987;;;Renkum;0274;;
Heelweg;1576;;;Oude IJsselstreek;1509;;
Heemserveen;1551;;;Hardenberg;0160;;
Heemskerk;2458;;;Heemskerk;0396;;
Heemstede;2563;;;Heemstede;0397;;
Heenvliet;1387;;;Bernisse;0568;;
Heerde;2865;;;Heerde;0246;;
Heerenveen;2186;;;Heerenveen;0074;;
Heerewaarden;1626;;;Maasdriel;0263;;
Heerhugowaard;1746;;;Heerhugowaard;0398;;
Heerjansdam;2398;;;Zwijndrecht;0642;;
Heerle;1590;;;Roosendaal;1674;;
Heerlen;1312;;;Heerlen;0917;;
Heesbeen;3516;01-09-2011;;Heusden;0797;;
Heesch;3059;;;Bernheze;1721;;
Heesselt;3361;;;Neerijnen;0304;;
Heeswijk-Dinther;3060;;;Bernheze;1721;;
Heeten;1498;;;Raalte;0177;;
Heeze;1314;;;Heeze-Leende;1658;;
Hegebeintum;3204;;;Ferwerderadiel;1722;;
Hegelsom;1031;;;Horst aan de Maas;1507;;
Hei- en Boeicop;2109;;;Zederik;0707;;
Heibloem;2946;;;Leudal;1640;;
Heide;2329;;;Venray;0984;;
Heijen;2483;;;Gennep;0907;;
Heijenrath;1228;;;Gulpen-Wittem;1729;;
Heijningen;1318;;;Moerdijk;1709;;
Heikant;3091;;;Hulst;0677;;
Heilig Landstichting;2292;;;Groesbeek;0241;;
Heiligerlee;1899;;;Oldambt;1895;;
Heiloo;1243;;;Heiloo;0399;;
Heinenoord;2381;;;Binnenmaas;0585;;
Heinkenszand;1255;;;Borsele;0654;;
Heino;1492;;;Raalte;0177;;
Hekelingen;3033;;;Spijkenisse;0612;;
Hekendorp;1909;;;Oudewater;0589;;
Helden;3441;;;Peel en Maas;1894;;
Helenaveen;1778;;;Deurne;0762;;
Hellendoorn;1041;;;Hellendoorn;0163;;
Hellevoetsluis;2137;;;Hellevoetsluis;0530;;
Hellouw;3362;;;Neerijnen;0304;;
Hellum;1350;;;Slochteren;0040;;
Helmond;1146;;;Helmond;0794;;
Helvoirt;1428;;;Haaren;0788;;
Hem;1507;;;Drechterland;0498;;
Hemelum;1970;;;Nijefurd;0104;;01-01-2011
Hemelum;1970;;;Súdwest Fryslân;1900;01-01-2011;
Hemmen;1865;;;Overbetuwe;1734;;
Hempens;1202;;;Leeuwarden;0080;;
Hemrik;3347;;;Opsterland;0086;;
Hendrik-Ido-Ambacht;2352;;;Hendrik-Ido-Ambacht;0531;;
Hengelo;1804;11-11-2008;01-06-2011;Hengelo (O);0164;;
Hengelo;3510;01-06-2011;;Hengelo (O);0164;;
Hengelo (Gld);1535;;;Bronckhorst;1876;;
Hengevelde;1443;;;Hof van Twente;1735;;
Hengstdijk;3098;;;Hulst;0677;;
Hensbroek;1186;;;Koggenland;1598;;
Herbaijum;1365;;;Franekeradeel;0070;;
Herkenbosch;2590;;;Roerdalen;1669;;
Herkingen;2378;;;Dirksland;0504;;
Hernen;2566;;;Wijchen;0296;;
Herpen;3255;;;Oss;0828;;
Herpt;3517;01-09-2011;;Heusden;0797;;
Herten;2282;;;Roermond;0957;;
Hertme;2050;;;Borne;0147;;
Herveld;1866;;;Overbetuwe;1734;;
Herwen;2977;;;Rijnwaarden;0196;;
Herwijnen;2354;;;Lingewaal;0733;;
Heteren;1867;;;Overbetuwe;1734;;
Heukelom;2648;;;Oisterwijk;0824;;
Heukelum;2355;;;Lingewaal;0733;;
Heumen;3495;;;Heumen;0252;;
Heusden;2929;;;Asten;0743;;
Heusden;3518;01-09-2011;;Heusden;0797;;
HEUSDEN GEM HEUSDEN;3501;;03-10-2011;Heusden;0797;;
Heveadorp;2988;;;Renkum;0274;;
Heythuysen;2947;;;Leudal;1640;;
Hezingen;1288;;;Tubbergen;0183;;
Hiaure;3398;;;Dongeradeel;0058;;
Hichtum;2311;;;Wûnseradiel;0710;;01-01-2011
Hichtum;2311;;;Súdwest Fryslân;1900;01-01-2011;
Hidaard;2016;;;Littenseradiel;0140;;
Hierden;3223;;;Harderwijk;0243;;
Hieslum;2312;;;Wûnseradiel;0710;;01-01-2011
Hieslum;2312;;;Súdwest Fryslân;1900;01-01-2011;
Hijken;3013;;;Midden-Drenthe;1731;;
Hijum;3227;;;Leeuwarderadeel;0081;;
Hilaard;2017;;;Littenseradiel;0140;;
Hillegom;1710;;12-01-2012;Hillegom;0534;;
Hillegom;3535;05-01-2012;;Hillegom;0534;;
Hilvarenbeek;1307;;;Hilvarenbeek;0798;;
Hilversum;1036;;;Hilversum;0402;;
Hindeloopen;1968;;;Nijefurd;0104;;01-01-2011
Hindeloopen;1968;;;Súdwest Fryslân;1900;01-01-2011;
Hinnaard;2018;;;Littenseradiel;0140;;
Hippolytushoef;1488;;;Wieringen;0462;;01-01-2012
Hippolytushoef;1488;;;Hollands Kroon;1911;01-01-2012;
Hitzum;1363;;;Franekeradeel;0070;;
Hobrede;1838;;;Zeevang;0478;;
Hoedekenskerke;1256;;;Borsele;0654;;
Hoek;1130;;;Terneuzen;0715;;
Hoek van Holland;3082;;;Rotterdam;0599;;
Hoenderloo;2257;;;Apeldoorn;0200;;
Hoenderloo;2772;;;Ede;0228;;
Hoensbroek;1313;;;Heerlen;0917;;
Hoenzadriel;1627;;;Maasdriel;0263;;
Hoevelaken;2871;;;Nijkerk;0267;;
Hoeven;1250;;;Halderberge;1655;;
Hoge Hexel;1089;;;Wierden;0189;;
Hollandsche Rading;2938;;;De Bilt;0310;;
Hollandscheveld;1813;;;Hoogeveen;0118;;
Hollum;2586;;;Ameland;0060;;
Holsloot;2156;;;Coevorden;0109;;
Holten;1567;;;Rijssen-Holten;1742;;
Holthees;1217;;;Boxmeer;0756;;
Holtheme;1552;;;Hardenberg;0160;;
Holthone;1553;;;Hardenberg;0160;;
Holtum;2814;;;Sittard-Geleen;1883;;
Holwerd;3399;;;Dongeradeel;0058;;
Holwierde;3237;;;Delfzijl;0010;;
Hommerts;2408;;;Wymbritseradiel;0683;;01-01-2011
Hommerts;2408;;;Súdwest Fryslân;1900;01-01-2011;
Homoet;1868;;;Overbetuwe;1734;;
Honselersdijk;2656;;;Westland;1783;;
Hoofddorp;1597;;;Haarlemmermeer;0394;;
Hoofdplaat;2968;;;Sluis;1714;;
Hoog Soeren;2249;;;Apeldoorn;0200;;
Hoogblokland;1434;;;Giessenlanden;0689;;
Hooge Mierde;1874;;;Reusel-De Mierden;1667;;
Hooge Zwaluwe;2575;;;Drimmelen;1719;;
Hoogeloon;1066;;;Bladel;1728;;
Hoogenweg;1554;;;Hardenberg;0160;;
Hoogerheide;1000;;;Woensdrecht;0873;;
Hoogersmilde;3014;;;Midden-Drenthe;1731;;
Hoogersmilde;3115;;;Westerveld;1701;;
Hoogeveen;1814;;;Hoogeveen;0118;;
Hoogezand;1018;;;Hoogezand-Sappemeer;0018;;
Hooghalen;3015;;;Midden-Drenthe;1731;;
Hoogkarspel;1508;;;Drechterland;0498;;
Hoog-Keppel;1521;;;Bronckhorst;1876;;
Hoogland;1665;;;Amersfoort;0307;;
Hooglanderveen;1666;;;Amersfoort;0307;;
Hoogmade;3034;;;Kaag en Braassem;1884;;
Hoogvliet Rotterdam;3083;;;Rotterdam;0599;;
Hoogwoud;2790;;;Opmeer;0432;;
Hoorn;2461;;;Hoorn;0405;;
Hoorn;2615;;;Terschelling;0093;;
Hoornaar;1435;;;Giessenlanden;0689;;
Hoornsterzwaag;2197;;;Heerenveen;0074;;
Horn;2948;;;Leudal;1640;;
Hornhuizen;3416;;;De Marne;1663;;
Horssen;2905;;;Druten;0225;;
Horst;1032;;;Horst aan de Maas;1507;;
Houten;2053;;;Houten;0321;;
Houtigehage;3282;;;Smallingerland;0090;;
Houwerzijl;3417;;;De Marne;1663;;
Huijbergen;1001;;;Woensdrecht;0873;;
Huis ter Heide;1637;;;Noordenveld;1699;;
Huis ter Heide;2825;;;Zeist;0355;;
Huisduinen;3057;;;Den Helder;0400;;
Huisseling;3257;;;Oss;0828;;
Huissen;3130;;;Lingewaard;1705;;
Huizen;1011;;;Huizen;0406;;
Huizinge;3447;;;Loppersum;0024;;
Hulsberg;2359;;;Nuth;0951;;
Hulsel;1875;;;Reusel-De Mierden;1667;;
Hulshorst;2984;;;Nunspeet;0302;;
Hulst;3088;;;Hulst;0677;;
Hulten;2068;;;Gilze en Rijen;0784;;
Hummelo;1523;;;Bronckhorst;1876;;
Húns;2019;;;Littenseradiel;0140;;
Hunsel;2949;;;Leudal;1640;;
Hurdegaryp;2449;;;Tytsjerksteradiel;0737;;
Hurwenen;1628;;;Maasdriel;0263;;
Idaerd;2529;;;Boarnsterhim;0055;;
Idsegahuizum;2313;;;Wûnseradiel;0710;;01-01-2011
Idsegahuizum;2313;;;Súdwest Fryslân;1900;01-01-2011;
Idskenhuizen;2492;;;Skarsterlân;0051;;
Idzega;2409;;;Wymbritseradiel;0683;;01-01-2011
Idzega;2409;;;Súdwest Fryslân;1900;01-01-2011;
Iens;2020;;;Littenseradiel;0140;;
IJhorst;1048;;;Staphorst;0180;;
IJlst;2410;;;Wymbritseradiel;0683;;01-01-2011
IJlst;2410;;;Súdwest Fryslân;1900;01-01-2011;
IJmuiden;2835;;;Velsen;0453;;
IJsselham;2701;;;Steenwijkerland;1708;;
IJsselmuiden;2895;;;Kampen;0166;;
IJsselstein;2432;;;IJsselstein;0353;;
IJzendijke;2974;;;Sluis;1714;;
IJzendoorn;1099;;;Neder-Betuwe;1740;;
Ilpendam;1941;;;Waterland;0852;;
Indijk;2411;;;Wymbritseradiel;0683;;01-01-2011
Indijk;2411;;;Súdwest Fryslân;1900;01-01-2011;
Ingber;1226;;;Gulpen-Wittem;1729;;
Ingelum;2728;;;Menaldumadeel;0083;;01-01-2011
Ingelum;2728;;;Menameradiel;1908;01-01-2011;
Ingen;3376;;;Buren;0214;;
It Heidenskip;1973;;;Nijefurd;0104;;01-01-2011
It Heidenskip;1973;;;Súdwest Fryslân;1900;01-01-2011;
Itens;2021;;;Littenseradiel;0140;;
Ittervoort;2950;;;Leudal;1640;;
Jaarsveld;1959;;;Lopik;0331;;
Jabeek;2846;;;Onderbanken;0881;;
Jannum;3205;;;Ferwerderadiel;1722;;
Jellum;2022;;;Littenseradiel;0140;;
Jelsum;3228;;;Leeuwarderadeel;0081;;
Jirnsum;2530;;;Boarnsterhim;0055;;
Jislum;3206;;;Ferwerderadiel;1722;;
Jisp;2284;;;Wormerland;0880;;
Jistrum;2452;;;Tytsjerksteradiel;0737;;
Jonkerslân;3348;;;Opsterland;0086;;
Jonkersvaart;2261;;;Marum;0025;;
Joppe;1340;;;Lochem;0262;;
Jorwert;2023;;;Littenseradiel;0140;;
Joure;2493;;;Skarsterlân;0051;;
Jouswier;3400;;;Dongeradeel;0058;;
Jubbega;2196;;;Heerenveen;0074;;
Julianadorp;3058;;;Den Helder;0400;;
Jutrijp;2412;;;Wymbritseradiel;0683;;01-01-2011
Jutrijp;2412;;;Súdwest Fryslân;1900;01-01-2011;
Kaag;3035;;;Kaag en Braassem;1884;;
Kaard;2622;;;Terschelling;0093;;
Kaatsheuvel;3052;;;Loon op Zand;0809;;
Kalenberg;2702;;;Steenwijkerland;1708;;
Kallenkote;2703;;;Steenwijkerland;1708;;
Kamerik;1073;;;Woerden;0632;;
Kampen;2894;;;Kampen;0166;;
Kamperland;3188;;;Noord-Beveland;1695;;
Kamperveen;2900;;;Kampen;0166;;
Kantens;3475;;;Eemsmond;1651;;
Kapel Avezaath;2560;;;Tiel;0281;;
Kapel-Avezaath;3377;;;Buren;0214;;
Kapelle;1467;;;Kapelle;0678;;
Kapellebrug;3090;;;Hulst;0677;;
Katlijk;2192;;;Heerenveen;0074;;
Kats;3192;;;Noord-Beveland;1695;;
Kattendijke;1825;;;Goes;0664;;
Katwijk;1707;;;Katwijk;0537;;
Katwijk NB;1452;;;Cuijk;1684;;
Katwoude;1942;;;Waterland;0852;;
Kedichem;2273;;;Leerdam;0545;;
Keent;3264;;;Oss;0828;;
Keijenborg;1536;;;Bronckhorst;1876;;
Kekerdom;2875;;;Ubbergen;0282;;
Kelpen-Oler;2951;;;Leudal;1640;;
Kerk Avezaath;2561;;;Tiel;0281;;
Kerk-Avezaath;3378;;;Buren;0214;;
Kerkdriel;1629;;;Maasdriel;0263;;
Kerkenveld;3166;;;De Wolden;1690;;
Kerkrade;2649;;;Kerkrade;0928;;
Kerkwerve;2679;;;Schouwen-Duiveland;1676;;
